time_stamp	img_type	Fuse Depth	Network Depth	ResNext	AP VAL	AP TRAIN	rgb resize shape	infrared resize shape	time stamp rgb	time stamp infrared	time per im val	time per im train	AP_TEST
20200225_1439	rgb	-	18	FALSE	0.784	0.835	1280	-	-	-	0.329	0.310	0.673
20200229_2057	rgb	-	18	FALSE	0.802	0.894	1152	-	-	-	0.316	0.294	0.735
20200225_1448	rgb	-	18	FALSE	0.811	0.919	1024	-	-	-	0.302	0.292	0.778
20200226_2028	rgb	-	18	FALSE	0.810	0.943	896	-	-	-	0.296	0.288	0.796
20200226_2040	rgb	-	18	FALSE	0.836	0.940	768	-	-	-	0.293	0.271	0.783
20200228_0711	rgb	-	18	FALSE	0.796	0.935	640	-	-	-	0.289	0.266	0.761
20200227_0920	rgb	-	18	FALSE	0.794	0.921	512	-	-	-	0.285	0.274	0.691
20200226_2027	rgb	-	18	FALSE	0.752	0.923	384	-	-	-	0.276	0.256	0.730
20200225_1450	rgb	-	18	FALSE	0.719	0.962	320	-	-	-	0.280	0.261	0.812
20200225_1443	rgb	-	18	FALSE	0.520	0.953	160	-	-	-	0.163	0.159	0.720
20200229_2120	rgb	-	18	FALSE	0.777	0.860	1280	-	-	-	0.322	0.310	0.703
20200302_0818	rgb	-	18	FALSE	0.783	0.890	1152	-	-	-	0.319	0.295	0.723
20200302_0822	rgb	-	18	FALSE	0.824	0.932	1024	-	-	-	0.296	0.287	0.800
20200303_1622	rgb	-	18	FALSE	0.827	0.963	896	-	-	-	0.293	0.275	0.845
20200304_1039	rgb	-	18	FALSE	0.794	0.944	764	-	-	-	0.287	0.273	0.815
20200228_0722	rgb	-	18	FALSE	0.850	0.983	640	-	-	-	0.287	0.266	0.867
20200303_1617	rgb	-	18	FALSE	0.776	0.902	512	-	-	-	0.271	0.263	0.742
20200228_1627	rgb	-	18	FALSE	0.756	0.925	384	-	-	-	0.273	0.258	0.718
20200302_0824	rgb	-	18	FALSE	0.691	0.819	320	-	-	-	0.269	0.254	0.587
20200302_0829	rgb	-	18	FALSE	0.547	0.873	160	-	-	-	0.163	0.158	0.596
20200312_1309	infrared	-	18	FALSE	0.740	0.863	-	160	-	-	0.100	0.103	0.549
20200312_1306	infrared	-	18	FALSE	0.714	0.858	-	128	-	-	0.105	0.104	0.610
20200312_1303	infrared	-	18	FALSE	0.761	0.889	-	96	-	-	0.100	0.108	0.574
20200311_1422	infrared	-	18	FALSE	0.711	0.876	-	64	-	-	0.098	0.105	0.562
20200312_2115	infrared	-	18	FALSE	0.777	0.867	-	160	-	-	0.101	0.106	0.562
20200312_2113	infrared	-	18	FALSE	0.761	0.842	-	128	-	-	0.104	0.110	0.593
20200312_2118	infrared	-	18	FALSE	0.696	0.808	-	96	-	-	0.101	0.096	0.572
20200312_2121	infrared	-	18	FALSE	0.770	0.884	-	64	-	-	0.098	0.103	0.551
20200323_1109	ensemble	2	18	FALSE	0.932	0.986	1024	64	20200225_1448	20200312_2121	0.386	0.364	0.834
20200321_1812	ensemble	2	18	FALSE	0.925	0.986	768	96	20200226_2040	20200312_1303	0.373	0.347	0.864
20200401_1846	ensemble	2	18	FALSE	0.894	0.988	640	160	20200228_0722	20200312_2115	0.372	0.336	0.864
20200417_2311	ensemble	2	18	FALSE	0.889	0.985	512	64	20200227_0920	20200312_1303	0.356	0.339	0.836
20200317_1321	ensemble	3	18	FALSE	0.942	0.991	1024	64	20200225_1448	20200312_2121	0.379	0.355	0.891
20200317_1019	ensemble	3	18	FALSE	0.920	0.990	768	96	20200226_2040	20200312_1303	0.367	0.342	0.878
20200315_2150	ensemble	3	18	FALSE	0.913	0.993	640	160	20200228_0722	20200312_2115	0.359	0.347	0.883
20200314_2313	ensemble	3	18	FALSE	0.908	0.985	512	64	20200227_0920	20200312_1303	0.352	0.330	0.835
20200409_2127	ensemble	4	18	FALSE	0.893	0.966	1024	64	20200225_1448	20200312_2121	0.384	0.355	0.845
20200321_0817	ensemble	4	18	FALSE	0.900	0.986	768	96	20200226_2040	20200312_1303	0.364	0.341	0.871
20200413_1117	ensemble	4	18	FALSE	0.897	0.984	640	160	20200228_0722	20200312_2115	0.362	0.337	0.884
